rt-uaw rt-uax rt-uay rt-uaz rt-faw rt-fax rt-fay rt-faz rt-thw rt-thx rt-thy rt-thz rt-llw rt-llx rt-lly rt-llz rt-ftw rt-ftx rt-fty rt-ftz lt-uaw lt-uax lt-uay lt-uaz lt-faw lt-fax lt-fay lt-faz lt-thw lt-thx lt-thy lt-thz lt-llw lt-llx lt-lly lt-llz lt-ftw lt-ftx lt-fty lt-ftz 
0.8057 0.2552 -0.531 -0.061 0.7345 -0.3196 -0.5947 -0.0683 0.7655 -0.2209 -0.5942 -0.1102 0.7889 0.2022 -0.5801 0.0182 0.6031 -0.0605 -0.795 -0.0236 0.7839 0.1144 -0.6103 -0.0015 0.9329 -0.1105 0.3425 0.0125 0.6042 -0.2136 -0.7612 -0.0999 0.6962 -0.0855 -0.7067 -0.0925 0.9461 -0.0317 0.3221 0.0131
0.8057 0.2552 -0.531 -0.061 0.7345 -0.3196 -0.5947 -0.0683 0.7655 -0.2209 -0.5942 -0.1102 0.7889 0.2022 -0.5801 0.0182 0.6031 -0.0605 -0.795 -0.0236 0.7839 0.1144 -0.6103 -0.0015 0.9329 -0.1105 0.3425 0.0125 0.6042 -0.2136 -0.7612 -0.0999 0.6962 -0.0855 -0.7067 -0.0925 0.9461 -0.0317 0.3221 0.0131
0.8049 0.2551 -0.5317 -0.0655 0.7345 -0.3196 -0.5947 -0.0683 0.7655 -0.2209 -0.5942 -0.1102 0.7899 0.1971 -0.5806 0.0112 0.6031 -0.0605 -0.795 -0.0236 0.7839 0.1144 -0.6103 -0.0015 0.9329 -0.1105 0.3425 0.0125 0.6042 -0.2136 -0.7612 -0.0999 0.6962 -0.0855 -0.7067 -0.0925 0.9461 -0.0317 0.3221 0.0131
0.8049 0.2551 -0.5317 -0.0655 0.7345 -0.3196 -0.5947 -0.0683 0.7655 -0.2209 -0.5942 -0.1102 0.7899 0.1971 -0.5806 0.0112 0.6031 -0.0605 -0.795 -0.0236 0.7839 0.1144 -0.6103 -0.0015 0.9329 -0.1105 0.3425 0.0125 0.6042 -0.2136 -0.7612 -0.0999 0.6962 -0.0855 -0.7067 -0.0925 0.9461 -0.0317 0.3221 0.0131
0.8049 0.2551 -0.5317 -0.0655 0.7345 -0.3196 -0.5947 -0.0683 0.7655 -0.2209 -0.5942 -0.1102 0.7899 0.1971 -0.5806 0.0112 0.6031 -0.0605 -0.795 -0.0236 0.7839 0.1144 -0.6103 -0.0015 0.9329 -0.1105 0.3425 0.0125 0.6042 -0.2136 -0.7612 -0.0999 0.6962 -0.0855 -0.7067 -0.0925 0.9461 -0.0317 0.3221 0.0131
0.8049 0.2551 -0.5317 -0.0655 0.7345 -0.3196 -0.5947 -0.0683 0.7655 -0.2209 -0.5942 -0.1102 0.7899 0.1971 -0.5806 0.0112 0.6031 -0.0605 -0.795 -0.0236 0.7839 0.1144 -0.6103 -0.0015 0.9329 -0.1105 0.3425 0.0125 0.6042 -0.2136 -0.7612 -0.0999 0.6962 -0.0855 -0.7067 -0.0925 0.9462 -0.0317 0.3218 0.0132
0.8049 0.2551 -0.5317 -0.0655 0.7345 -0.3196 -0.5947 -0.0683 0.7655 -0.2209 -0.5942 -0.1102 0.7899 0.1971 -0.5806 0.0112 0.6031 -0.0605 -0.795 -0.0236 0.7839 0.1144 -0.6103 -0.0015 0.9329 -0.1105 0.3425 0.0125 0.6042 -0.2136 -0.7612 -0.0999 0.6962 -0.0855 -0.7067 -0.0925 0.9462 -0.0317 0.3218 0.0132
0.8049 0.2551 -0.5317 -0.0655 0.7362 -0.3256 -0.5892 -0.0694 0.7661 -0.2253 -0.5916 -0.112 0.7899 0.1971 -0.5806 0.0112 0.6032 -0.0607 -0.7949 -0.0262 0.7841 0.1147 -0.61 -0.0024 0.9329 -0.1105 0.3425 0.0125 0.6038 -0.2148 -0.761 -0.1005 0.6962 -0.0855 -0.7067 -0.0925 0.9462 -0.0317 0.3218 0.0132
0.8049 0.2551 -0.5317 -0.0655 0.7362 -0.3256 -0.5892 -0.0694 0.7661 -0.2253 -0.5916 -0.112 0.7899 0.1971 -0.5806 0.0112 0.6032 -0.0607 -0.7949 -0.0262 0.7841 0.1147 -0.61 -0.0024 0.9329 -0.1105 0.3425 0.0125 0.6038 -0.2148 -0.761 -0.1005 0.6962 -0.0855 -0.7067 -0.0925 0.9462 -0.0317 0.3218 0.0132
0.8052 0.2557 -0.5311 -0.0642 0.7362 -0.3256 -0.5892 -0.0694 0.7661 -0.2253 -0.5916 -0.112 0.7909 0.2025 -0.5773 0.0126 0.6032 -0.0607 -0.7949 -0.0262 0.7841 0.1147 -0.61 -0.0024 0.9329 -0.1105 0.3425 0.0125 0.6038 -0.2148 -0.761 -0.1005 0.6962 -0.0855 -0.7067 -0.0925 0.9462 -0.0317 0.3218 0.0132
