rt-uaw rt-uax rt-uay rt-uaz rt-faw rt-fax rt-fay rt-faz rt-thw rt-thx rt-thy rt-thz rt-llw rt-llx rt-lly rt-llz rt-ftw rt-ftx rt-fty rt-ftz lt-uaw lt-uax lt-uay lt-uaz lt-faw lt-fax lt-fay lt-faz lt-thw lt-thx lt-thy lt-thz lt-llw lt-llx lt-lly lt-llz lt-ftw lt-ftx lt-fty lt-ftz 
0.799 0.265 -0.5383 -0.0402 0.7234 -0.2423 -0.6461 0.025 0.7657 -0.1357 -0.6285 -0.0153 0.7866 0.1638 -0.5953 -0.0069 0.6136 -0.0458 -0.788 -0.0209 0.7859 0.1302 -0.6045 -0.0065 0.9285 -0.1118 0.3542 -0.002 0.6254 -0.1508 -0.7651 -0.0253 0.7112 -0.0214 -0.6992 -0.0698 0.9443 -0.0413 0.3231 0.046
0.799 0.265 -0.5383 -0.0402 0.7234 -0.2423 -0.6461 0.025 0.7657 -0.1357 -0.6285 -0.0153 0.7852 0.1671 -0.5963 -0.0059 0.6136 -0.0458 -0.788 -0.0209 0.7859 0.1302 -0.6045 -0.0065 0.9285 -0.1118 0.3542 -0.002 0.6254 -0.1508 -0.7651 -0.0253 0.7112 -0.0214 -0.6992 -0.0698 0.9443 -0.0413 0.3231 0.046
0.799 0.265 -0.5383 -0.0402 0.7228 -0.2419 -0.6469 0.0228 0.7657 -0.1357 -0.6285 -0.0153 0.7852 0.1671 -0.5963 -0.0059 0.6136 -0.0458 -0.788 -0.0209 0.7859 0.1302 -0.6045 -0.0065 0.9285 -0.1118 0.3542 -0.002 0.6255 -0.1496 -0.7653 -0.0256 0.7112 -0.0214 -0.6992 -0.0698 0.9443 -0.0413 0.3231 0.046
0.799 0.265 -0.5383 -0.0402 0.7228 -0.2419 -0.6469 0.0228 0.7657 -0.1357 -0.6285 -0.0153 0.7852 0.1671 -0.5963 -0.0059 0.6136 -0.0458 -0.788 -0.0209 0.7859 0.1302 -0.6045 -0.0065 0.9285 -0.1118 0.3542 -0.002 0.6255 -0.1496 -0.7653 -0.0256 0.7112 -0.0214 -0.6992 -0.0698 0.9443 -0.0413 0.3231 0.046
0.799 0.265 -0.5383 -0.0402 0.7228 -0.2419 -0.6469 0.0228 0.7657 -0.1357 -0.6285 -0.0153 0.7852 0.1671 -0.5963 -0.0059 0.6136 -0.0458 -0.788 -0.0209 0.7859 0.1302 -0.6045 -0.0065 0.9285 -0.1118 0.3542 -0.002 0.6255 -0.1496 -0.7653 -0.0256 0.7112 -0.0214 -0.6992 -0.0698 0.9443 -0.0413 0.3232 0.046
0.799 0.265 -0.5383 -0.0402 0.7228 -0.2419 -0.6469 0.0228 0.7661 -0.1284 -0.6297 -0.0106 0.7852 0.1671 -0.5963 -0.0059 0.6136 -0.0458 -0.788 -0.0209 0.7859 0.1302 -0.6045 -0.0065 0.9285 -0.1118 0.3542 -0.002 0.6255 -0.1496 -0.7653 -0.0256 0.7112 -0.0214 -0.6992 -0.0698 0.9443 -0.0413 0.3232 0.046
0.799 0.265 -0.5383 -0.0402 0.7228 -0.2419 -0.6469 0.0228 0.7661 -0.1284 -0.6297 -0.0106 0.7852 0.1671 -0.5963 -0.0059 0.6136 -0.0464 -0.7879 -0.0211 0.7859 0.1303 -0.6044 -0.0066 0.9285 -0.1118 0.3542 -0.002 0.6255 -0.1496 -0.7653 -0.0256 0.7112 -0.0214 -0.6992 -0.0698 0.9443 -0.0413 0.3232 0.046
0.799 0.265 -0.5383 -0.0402 0.7228 -0.2419 -0.6469 0.0228 0.7661 -0.1284 -0.6297 -0.0106 0.7852 0.1671 -0.5963 -0.0059 0.6136 -0.0464 -0.7879 -0.0211 0.7859 0.1303 -0.6044 -0.0066 0.9285 -0.1118 0.3542 -0.002 0.6255 -0.1496 -0.7653 -0.0256 0.7112 -0.0214 -0.6992 -0.0698 0.9443 -0.0413 0.3232 0.046
0.799 0.265 -0.5383 -0.0402 0.7228 -0.235 -0.6495 0.0226 0.7661 -0.1284 -0.6297 -0.0106 0.7833 0.1586 -0.6011 -0.0059 0.6136 -0.0464 -0.7879 -0.0211 0.7859 0.1303 -0.6044 -0.0066 0.9285 -0.1118 0.3542 -0.002 0.6255 -0.1499 -0.7653 -0.0252 0.7112 -0.0214 -0.6992 -0.0698 0.9443 -0.0413 0.3232 0.046
0.799 0.265 -0.5383 -0.0402 0.7228 -0.235 -0.6495 0.0226 0.7661 -0.1284 -0.6297 -0.0106 0.7833 0.1586 -0.6011 -0.0059 0.6136 -0.0464 -0.7879 -0.0211 0.7859 0.1303 -0.6044 -0.0066 0.9285 -0.1118 0.3542 -0.002 0.6255 -0.1499 -0.7653 -0.0252 0.7112 -0.0214 -0.6992 -0.0698 0.9443 -0.0413 0.3232 0.046
