rt-uaw rt-uax rt-uay rt-uaz rt-faw rt-fax rt-fay rt-faz rt-thw rt-thx rt-thy rt-thz rt-llw rt-llx rt-lly rt-llz rt-ftw rt-ftx rt-fty rt-ftz lt-uaw lt-uax lt-uay lt-uaz lt-faw lt-fax lt-fay lt-faz lt-thw lt-thx lt-thy lt-thz lt-llw lt-llx lt-lly lt-llz lt-ftw lt-ftx lt-fty lt-ftz 
-0.7935 -0.2187 0.5598 0.096 -0.7117 0.2894 0.6321 0.101 -0.7629 0.165 0.6104 0.1349 -0.7762 -0.1951 0.5994 -0.0111 -0.5981 0.0779 0.7934 0.0821 -0.8 -0.1238 0.5856 0.0407 -0.9276 0.1136 -0.3553 -0.0179 -0.615 0.2067 0.7505 0.1257 -0.6972 0.1923 0.6809 0.1152 -0.9462 0.0125 -0.3233 -1.0E-4
-0.7935 -0.2187 0.5598 0.096 -0.7117 0.2894 0.6321 0.101 -0.7629 0.165 0.6104 0.1349 -0.7762 -0.1951 0.5994 -0.0111 -0.5981 0.0779 0.7934 0.0821 -0.8 -0.1238 0.5856 0.0407 -0.9276 0.1136 -0.3553 -0.0179 -0.615 0.2067 0.7505 0.1257 -0.6972 0.1923 0.6809 0.1152 -0.9462 0.0125 -0.3233 -1.0E-4
-0.7935 -0.2187 0.5598 0.096 -0.7117 0.2894 0.6321 0.101 -0.7629 0.165 0.6104 0.1349 -0.7762 -0.1951 0.5994 -0.0111 -0.5981 0.0779 0.7934 0.0821 -0.8 -0.1238 0.5856 0.0407 -0.9276 0.1136 -0.3553 -0.0179 -0.6078 0.2097 0.7579 0.11 -0.6972 0.1923 0.6809 0.1152 -0.9462 0.0125 -0.3233 -1.0E-4
-0.7935 -0.2187 0.5598 0.096 -0.7117 0.2894 0.6321 0.101 -0.7629 0.165 0.6104 0.1349 -0.7762 -0.1951 0.5994 -0.0111 -0.5981 0.0779 0.7934 0.0821 -0.8 -0.1238 0.5856 0.0407 -0.9276 0.1136 -0.3553 -0.0179 -0.6078 0.2097 0.7579 0.11 -0.6972 0.1923 0.6809 0.1152 -0.9462 0.0125 -0.3233 -1.0E-4
-0.7935 -0.2187 0.5598 0.096 -0.7117 0.2894 0.6321 0.101 -0.7629 0.165 0.6104 0.1349 -0.7762 -0.1951 0.5994 -0.0111 -0.5981 0.0779 0.7934 0.0821 -0.8 -0.1238 0.5856 0.0407 -0.9276 0.1136 -0.3553 -0.0179 -0.6078 0.2097 0.7579 0.11 -0.6972 0.1923 0.6809 0.1152 -0.9462 0.0125 -0.3233 -1.0E-4
-0.7935 -0.2187 0.5598 0.096 -0.7117 0.2894 0.6321 0.101 -0.7629 0.165 0.6104 0.1349 -0.7762 -0.1951 0.5994 -0.0111 -0.5981 0.0779 0.7934 0.0821 -0.8 -0.1238 0.5856 0.0407 -0.9276 0.1136 -0.3553 -0.0179 -0.6078 0.2097 0.7579 0.11 -0.6898 0.1934 0.6906 0.0994 -0.9462 0.0125 -0.3233 -1.0E-4
-0.7961 -0.217 0.5573 0.0919 -0.7117 0.2894 0.6321 0.101 -0.771 0.1537 0.592 0.1776 -0.7658 -0.191 0.6136 -0.0209 -0.5981 0.0779 0.7934 0.0821 -0.8 -0.1238 0.5856 0.0407 -0.9276 0.1136 -0.3553 -0.0179 -0.6078 0.2097 0.7579 0.11 -0.6898 0.1934 0.6906 0.0994 -0.9462 0.0125 -0.3233 -1.0E-4
-0.7961 -0.217 0.5573 0.0919 -0.7117 0.2894 0.6321 0.101 -0.771 0.1537 0.592 0.1776 -0.7658 -0.191 0.6136 -0.0209 -0.5981 0.0779 0.7934 0.0821 -0.8 -0.1238 0.5856 0.0407 -0.9276 0.1136 -0.3553 -0.0179 -0.6078 0.2097 0.7579 0.11 -0.6898 0.1934 0.6906 0.0994 -0.9462 0.0125 -0.3233 -1.0E-4
-0.7961 -0.217 0.5573 0.0919 -0.7117 0.2894 0.6321 0.101 -0.771 0.1537 0.592 0.1776 -0.7658 -0.191 0.6136 -0.0209 -0.5981 0.0779 0.7934 0.0821 -0.806 -0.1359 0.5696 0.0859 -0.9276 0.1136 -0.3553 -0.0179 -0.6044 0.1886 0.7701 0.0777 -0.6898 0.1934 0.6906 0.0994 -0.9468 0.0226 -0.3211 0.0034
-0.7961 -0.217 0.5573 0.0919 -0.7117 0.2894 0.6321 0.101 -0.771 0.1537 0.592 0.1776 -0.7658 -0.191 0.6136 -0.0209 -0.5981 0.0779 0.7934 0.0821 -0.806 -0.1359 0.5696 0.0859 -0.9276 0.1136 -0.3553 -0.0179 -0.6044 0.1886 0.7701 0.0777 -0.6898 0.1934 0.6906 0.0994 -0.9468 0.0226 -0.3211 0.0034
