rt-uaw rt-uax rt-uay rt-uaz rt-faw rt-fax rt-fay rt-faz rt-thw rt-thx rt-thy rt-thz rt-llw rt-llx rt-lly rt-llz rt-ftw rt-ftx rt-fty rt-ftz lt-uaw lt-uax lt-uay lt-uaz lt-faw lt-fax lt-fay lt-faz lt-thw lt-thx lt-thy lt-thz lt-llw lt-llx lt-lly lt-llz lt-ftw lt-ftx lt-fty lt-ftz 
0.228 -0.1532 -0.5649 -0.7781 0.6962 -0.4035 0.3949 -0.4434 0.8265 -0.3881 -0.374 -0.162 0.0098 0.2225 -0.4057 -0.8865 0.5646 -0.3405 -0.7042 -0.2635 0.8166 0.1938 -0.5393 0.0689 0.9213 -0.0921 0.376 -0.0367 0.5502 -0.2977 -0.7482 -0.2208 0.5791 -0.5147 -0.4656 -0.4277 0.942 -0.0162 0.3327 -0.042
0.2228 -0.1521 -0.5651 -0.7797 0.6962 -0.4035 0.3949 -0.4434 0.828 -0.3865 -0.3708 -0.1661 0.0042 0.2233 -0.4024 -0.8878 0.562 -0.3576 -0.6853 -0.2944 0.8166 0.1938 -0.5393 0.0689 0.9213 -0.0921 0.376 -0.0367 0.5323 -0.3128 -0.7505 -0.2358 0.5791 -0.5147 -0.4656 -0.4277 0.942 -0.0162 0.3327 -0.042
0.2228 -0.1521 -0.5651 -0.7797 0.6962 -0.4035 0.3949 -0.4434 0.828 -0.3865 -0.3708 -0.1661 0.0042 0.2233 -0.4024 -0.8878 0.562 -0.3576 -0.6853 -0.2944 0.8166 0.1938 -0.5393 0.0689 0.9213 -0.0921 0.376 -0.0367 0.5323 -0.3128 -0.7505 -0.2358 0.5791 -0.5147 -0.4656 -0.4277 0.942 -0.0162 0.3327 -0.042
0.2228 -0.1521 -0.5651 -0.7797 0.6906 -0.4106 0.3885 -0.4512 0.828 -0.3865 -0.3708 -0.1661 0.0042 0.2233 -0.4024 -0.8878 0.562 -0.3576 -0.6853 -0.2944 0.8307 0.154 -0.534 0.0311 0.9227 -0.0689 0.3784 -0.0256 0.5323 -0.3128 -0.7505 -0.2358 0.5791 -0.5147 -0.4656 -0.4277 0.942 -0.0162 0.3327 -0.042
0.2228 -0.1521 -0.5651 -0.7797 0.6906 -0.4106 0.3885 -0.4512 0.828 -0.3865 -0.3708 -0.1661 0.0042 0.2233 -0.4024 -0.8878 0.562 -0.3576 -0.6853 -0.2944 0.8307 0.154 -0.534 0.0311 0.9227 -0.0689 0.3784 -0.0256 0.5323 -0.3128 -0.7505 -0.2358 0.5791 -0.5147 -0.4656 -0.4277 0.942 -0.0162 0.3327 -0.042
0.2228 -0.1521 -0.5651 -0.7797 0.6906 -0.4106 0.3885 -0.4512 0.828 -0.3865 -0.3708 -0.1661 0.0042 0.2233 -0.4024 -0.8878 0.562 -0.3576 -0.6853 -0.2944 0.8307 0.154 -0.534 0.0311 0.9227 -0.0689 0.3784 -0.0256 0.5323 -0.3128 -0.7505 -0.2358 0.5622 -0.5363 -0.453 -0.4371 0.945 -0.0133 0.3243 -0.0409
0.2228 -0.1521 -0.5651 -0.7797 0.6906 -0.4106 0.3885 -0.4512 0.828 -0.3865 -0.3708 -0.1661 0.0042 0.2233 -0.4024 -0.8878 0.562 -0.3576 -0.6853 -0.2944 0.8307 0.154 -0.534 0.0311 0.9227 -0.0689 0.3784 -0.0256 0.5323 -0.3128 -0.7505 -0.2358 0.5622 -0.5363 -0.453 -0.4371 0.945 -0.0133 0.3243 -0.0409
0.2206 -0.1595 -0.5726 -0.7733 0.6906 -0.4106 0.3885 -0.4512 0.828 -0.3865 -0.3708 -0.1661 0.0042 0.2233 -0.4024 -0.8878 0.562 -0.3576 -0.6853 -0.2944 0.8307 0.154 -0.534 0.0311 0.9227 -0.0689 0.3784 -0.0256 0.5323 -0.3128 -0.7505 -0.2358 0.5622 -0.5363 -0.453 -0.4371 0.945 -0.0133 0.3243 -0.0409
0.2206 -0.1595 -0.5726 -0.7733 0.6906 -0.4106 0.3885 -0.4512 0.828 -0.3865 -0.3708 -0.1661 0.0042 0.2233 -0.4024 -0.8878 0.562 -0.3576 -0.6853 -0.2944 0.8307 0.154 -0.534 0.0311 0.9227 -0.0689 0.3784 -0.0256 0.5323 -0.3128 -0.7505 -0.2358 0.5622 -0.5363 -0.453 -0.4371 0.945 -0.0133 0.3243 -0.0409
0.2206 -0.1595 -0.5726 -0.7733 0.6863 -0.4127 0.3865 -0.4575 0.8304 -0.3815 -0.3677 -0.1725 -0.0013 0.2316 -0.4109 -0.8817 0.5571 -0.3693 -0.6661 -0.3311 0.8307 0.154 -0.534 0.0311 0.9201 -0.0359 0.39 -0.0074 0.5203 -0.3199 -0.7521 -0.2475 0.5622 -0.5363 -0.453 -0.4371 0.945 -0.0133 0.3243 -0.0409
