rt-uaw rt-uax rt-uay rt-uaz rt-faw rt-fax rt-fay rt-faz rt-thw rt-thx rt-thy rt-thz rt-llw rt-llx rt-lly rt-llz rt-ftw rt-ftx rt-fty rt-ftz lt-uaw lt-uax lt-uay lt-uaz lt-faw lt-fax lt-fay lt-faz lt-thw lt-thx lt-thy lt-thz lt-llw lt-llx lt-lly lt-llz lt-ftw lt-ftx lt-fty lt-ftz 
-0.7547 0.1088 0.5317 0.3686 -0.434 0.7248 0.5157 -0.1431 -0.6334 0.5076 0.3286 0.483 -0.455 -0.1584 0.6808 0.5517 -0.7027 0.3756 0.5876 0.1407 -0.6602 0.0056 0.7151 0.2298 -0.8787 0.1293 -0.289 0.3572 -0.7599 -0.0958 0.6424 0.0245 -0.7059 0.2166 0.6575 0.1506 -0.9279 0.0712 -0.3323 0.1536
-0.7547 0.1088 0.5317 0.3686 -0.434 0.7248 0.5157 -0.1431 -0.6334 0.5076 0.3286 0.483 -0.455 -0.1584 0.6808 0.5517 -0.7027 0.3756 0.5876 0.1407 -0.6602 0.0051 0.7151 0.2296 -0.8787 0.1293 -0.289 0.3572 -0.7599 -0.0958 0.6424 0.0245 -0.7059 0.2166 0.6575 0.1506 -0.9279 0.0712 -0.3323 0.1536
-0.7547 0.1088 0.5317 0.3686 -0.434 0.7248 0.5157 -0.1431 -0.6334 0.5076 0.3286 0.483 -0.455 -0.1584 0.6808 0.5517 -0.7027 0.3756 0.5876 0.1407 -0.6602 0.0051 0.7151 0.2296 -0.8787 0.1293 -0.289 0.3572 -0.7599 -0.0955 0.6425 0.0237 -0.7059 0.2166 0.6575 0.1506 -0.9279 0.0712 -0.3323 0.1536
-0.7547 0.1088 0.5317 0.3686 -0.434 0.7248 0.5157 -0.1431 -0.6334 0.5076 0.3286 0.483 -0.455 -0.1584 0.6808 0.5517 -0.7027 0.3756 0.5876 0.1407 -0.6602 0.0051 0.7151 0.2296 -0.8787 0.1293 -0.289 0.3572 -0.7599 -0.0955 0.6425 0.0237 -0.7059 0.2166 0.6575 0.1506 -0.9279 0.0712 -0.3323 0.1536
-0.7547 0.1088 0.5317 0.3686 -0.434 0.7248 0.5157 -0.1431 -0.6334 0.5076 0.3286 0.483 -0.455 -0.1584 0.6808 0.5517 -0.7027 0.3756 0.5876 0.1407 -0.6602 0.0051 0.7151 0.2296 -0.8787 0.1293 -0.289 0.3572 -0.7599 -0.0955 0.6425 0.0237 -0.7055 0.2173 0.6575 0.1509 -0.9279 0.0712 -0.3323 0.1536
-0.7547 0.1088 0.5317 0.3686 -0.433 0.7249 0.5162 -0.1432 -0.6334 0.5076 0.3286 0.483 -0.455 -0.1584 0.6808 0.5517 -0.7027 0.3756 0.5876 0.1407 -0.6602 0.0051 0.7151 0.2296 -0.8787 0.1293 -0.289 0.3572 -0.7599 -0.0955 0.6425 0.0237 -0.7055 0.2173 0.6575 0.1509 -0.9279 0.0712 -0.3323 0.1536
-0.7547 0.1088 0.5317 0.3686 -0.433 0.7249 0.5162 -0.1432 -0.6334 0.5076 0.3286 0.483 -0.455 -0.1584 0.6808 0.5517 -0.7027 0.3756 0.5876 0.1407 -0.6602 0.0051 0.7151 0.2296 -0.8787 0.1293 -0.289 0.3572 -0.7599 -0.0955 0.6425 0.0237 -0.7055 0.2173 0.6575 0.1509 -0.9279 0.0712 -0.3323 0.1536
-0.7546 0.1073 0.5323 0.3684 -0.433 0.7249 0.5162 -0.1432 -0.6329 0.5091 0.3279 0.4825 -0.4554 -0.1578 0.6818 0.5503 -0.7032 0.3745 0.5878 0.1407 -0.6602 0.0051 0.7151 0.2296 -0.8787 0.1292 -0.2892 0.3572 -0.7599 -0.0955 0.6425 0.0237 -0.7055 0.2173 0.6575 0.1509 -0.9279 0.0712 -0.3321 0.1536
-0.7546 0.1073 0.5323 0.3684 -0.433 0.7249 0.5162 -0.1432 -0.6329 0.5091 0.3279 0.4825 -0.4554 -0.1578 0.6818 0.5503 -0.7032 0.3745 0.5878 0.1407 -0.6605 0.0052 0.7148 0.2297 -0.8787 0.1292 -0.2892 0.3572 -0.7599 -0.0955 0.6425 0.0237 -0.7055 0.2173 0.6575 0.1509 -0.9279 0.0712 -0.3321 0.1536
-0.7546 0.1073 0.5323 0.3684 -0.433 0.7249 0.5162 -0.1432 -0.6329 0.5091 0.3279 0.4825 -0.4554 -0.1578 0.6818 0.5503 -0.7032 0.3745 0.5878 0.1407 -0.6605 0.0052 0.7148 0.2297 -0.8787 0.1292 -0.2892 0.3572 -0.7601 -0.0944 0.6425 0.0241 -0.7055 0.2173 0.6575 0.1509 -0.9279 0.0712 -0.3321 0.1536
