rt-uaw rt-uax rt-uay rt-uaz rt-faw rt-fax rt-fay rt-faz rt-thw rt-thx rt-thy rt-thz rt-llw rt-llx rt-lly rt-llz rt-ftw rt-ftx rt-fty rt-ftz lt-uaw lt-uax lt-uay lt-uaz lt-faw lt-fax lt-fay lt-faz lt-thw lt-thx lt-thy lt-thz lt-llw lt-llx lt-lly lt-llz lt-ftw lt-ftx lt-fty lt-ftz 
0.7805 -0.1581 -0.5535 -0.2441 0.4975 -0.4722 -0.7222 -0.0892 0.7564 -0.1921 -0.6097 -0.1388 0.5501 0.1984 -0.7493 -0.3106 0.6147 -0.0914 -0.7808 -0.0638 0.7463 0.1554 -0.6251 0.1677 0.9373 -0.0674 0.3411 0.0259 0.6454 0.2199 -0.717 0.1449 0.7148 0.0645 -0.6829 0.1362 0.9371 -0.0823 0.3343 -0.0574
0.7805 -0.1656 -0.5342 -0.2792 0.4975 -0.4722 -0.7222 -0.0892 0.7564 -0.1921 -0.6097 -0.1388 0.5501 0.1984 -0.7493 -0.3106 0.6147 -0.0914 -0.7808 -0.0638 0.7463 0.1554 -0.6251 0.1677 0.9367 -0.0632 0.3436 0.0236 0.6454 0.2199 -0.717 0.1449 0.7148 0.0645 -0.6829 0.1362 0.9371 -0.0823 0.3343 -0.0574
0.7805 -0.1656 -0.5342 -0.2792 0.4975 -0.4722 -0.7222 -0.0892 0.7564 -0.1921 -0.6097 -0.1388 0.5501 0.1984 -0.7493 -0.3106 0.6147 -0.0914 -0.7808 -0.0638 0.7463 0.1554 -0.6251 0.1677 0.9367 -0.0632 0.3436 0.0236 0.6454 0.2199 -0.717 0.1449 0.7127 0.0576 -0.6867 0.131 0.9371 -0.0823 0.3343 -0.0574
0.7805 -0.1656 -0.5342 -0.2792 0.4975 -0.4722 -0.7222 -0.0892 0.7488 -0.2032 -0.6168 -0.1325 0.5501 0.1984 -0.7493 -0.3106 0.6147 -0.0914 -0.7808 -0.0638 0.7463 0.1554 -0.6251 0.1677 0.9367 -0.0632 0.3436 0.0236 0.6454 0.2199 -0.717 0.1449 0.7127 0.0576 -0.6867 0.131 0.9371 -0.0823 0.3343 -0.0574
0.7805 -0.1656 -0.5342 -0.2792 0.4975 -0.4722 -0.7222 -0.0892 0.7488 -0.2032 -0.6168 -0.1325 0.5501 0.1984 -0.7493 -0.3106 0.6147 -0.0914 -0.7808 -0.0638 0.7463 0.1554 -0.6251 0.1677 0.9367 -0.0632 0.3436 0.0236 0.6454 0.2199 -0.717 0.1449 0.7127 0.0576 -0.6867 0.131 0.941 -0.093 0.3191 -0.0641
0.7805 -0.1656 -0.5342 -0.2792 0.4603 -0.4944 -0.7369 -0.0239 0.7488 -0.2032 -0.6168 -0.1325 0.5501 0.1984 -0.7493 -0.3106 0.6147 -0.0914 -0.7808 -0.0638 0.7463 0.1554 -0.6251 0.1677 0.9367 -0.0632 0.3436 0.0236 0.6454 0.2199 -0.717 0.1449 0.7127 0.0576 -0.6867 0.131 0.941 -0.093 0.3191 -0.0641
0.7805 -0.1656 -0.5342 -0.2792 0.4603 -0.4944 -0.7369 -0.0239 0.7488 -0.2032 -0.6168 -0.1325 0.4594 0.2317 -0.7677 -0.382 0.6147 -0.0914 -0.7808 -0.0638 0.7491 0.1669 -0.62 0.1628 0.9367 -0.0632 0.3436 0.0236 0.6426 0.2014 -0.726 0.139 0.7127 0.0576 -0.6867 0.131 0.941 -0.093 0.3191 -0.0641
0.7805 -0.1656 -0.5342 -0.2792 0.4603 -0.4944 -0.7369 -0.0239 0.7488 -0.2032 -0.6168 -0.1325 0.4594 0.2317 -0.7677 -0.382 0.6147 -0.0914 -0.7808 -0.0638 0.7491 0.1669 -0.62 0.1628 0.9367 -0.0632 0.3436 0.0236 0.6426 0.2014 -0.726 0.139 0.7127 0.0576 -0.6867 0.131 0.941 -0.093 0.3191 -0.0641
0.7805 -0.1656 -0.5342 -0.2792 0.4603 -0.4944 -0.7369 -0.0239 0.7488 -0.2032 -0.6168 -0.1325 0.4594 0.2317 -0.7677 -0.382 0.6147 -0.0914 -0.7808 -0.0638 0.7491 0.1669 -0.62 0.1628 0.9367 -0.0632 0.3436 0.0236 0.6426 0.2014 -0.726 0.139 0.7127 0.0576 -0.6867 0.131 0.941 -0.093 0.3191 -0.0641
0.7805 -0.1656 -0.5342 -0.2792 0.4603 -0.4944 -0.7369 -0.0239 0.7488 -0.2032 -0.6168 -0.1325 0.4594 0.2317 -0.7677 -0.382 0.6147 -0.0914 -0.7808 -0.0638 0.7491 0.1669 -0.62 0.1628 0.9367 -0.0632 0.3436 0.0236 0.6426 0.2014 -0.726 0.139 0.7121 0.0471 -0.6905 0.1182 0.941 -0.093 0.3191 -0.0641
