rt-uaw rt-uax rt-uay rt-uaz rt-faw rt-fax rt-fay rt-faz rt-thw rt-thx rt-thy rt-thz rt-llw rt-llx rt-lly rt-llz rt-ftw rt-ftx rt-fty rt-ftz lt-uaw lt-uax lt-uay lt-uaz lt-faw lt-fax lt-fay lt-faz lt-thw lt-thx lt-thy lt-thz lt-llw lt-llx lt-lly lt-llz lt-ftw lt-ftx lt-fty lt-ftz 
-0.6713 0.2946 0.5644 0.3795 -0.5244 0.6413 0.3741 0.4168 -0.5984 0.4186 0.5038 0.4612 -0.6509 0.1243 0.6257 0.4115 -0.6829 -0.1431 0.6967 -0.1667 -0.673 0.1543 0.6659 0.2825 -0.7634 0.0083 -0.3497 0.543 0.1426 0.6962 -0.2192 0.6686 -0.4073 0.6125 0.3972 0.5488 -0.9315 0.101 -0.3357 -0.0967
-0.6713 0.2946 0.5644 0.3795 -0.5238 0.6403 0.3748 0.4185 -0.5984 0.4186 0.5038 0.4612 -0.6514 0.1253 0.6254 0.4109 -0.6829 -0.1431 0.6967 -0.1667 -0.673 0.1543 0.6659 0.2825 -0.7634 0.0083 -0.3497 0.543 0.1432 0.6957 -0.2206 0.6685 -0.4073 0.6125 0.3972 0.5488 -0.9315 0.101 -0.3357 -0.0967
-0.6713 0.2946 0.5644 0.3795 -0.5238 0.6403 0.3748 0.4185 -0.5984 0.4186 0.5038 0.4612 -0.6514 0.1253 0.6254 0.4109 -0.6829 -0.1431 0.6967 -0.1667 -0.673 0.1543 0.6659 0.2825 -0.7634 0.0083 -0.3497 0.543 0.1432 0.6957 -0.2206 0.6685 -0.4073 0.6125 0.3972 0.5488 -0.9315 0.101 -0.3357 -0.0967
-0.6713 0.2946 0.5644 0.3795 -0.5238 0.6403 0.3748 0.4185 -0.5988 0.4185 0.504 0.4608 -0.6514 0.1253 0.6254 0.4109 -0.6829 -0.1431 0.6967 -0.1667 -0.673 0.1543 0.6659 0.2825 -0.7634 0.0083 -0.3497 0.543 0.1432 0.6957 -0.2206 0.6685 -0.4073 0.6125 0.3972 0.5488 -0.9315 0.101 -0.3357 -0.0967
-0.6713 0.2946 0.5644 0.3795 -0.5238 0.6403 0.3748 0.4185 -0.5988 0.4185 0.504 0.4608 -0.6514 0.1253 0.6254 0.4109 -0.6829 -0.1431 0.6967 -0.1667 -0.673 0.1543 0.6659 0.2825 -0.7634 0.0083 -0.3497 0.543 0.1432 0.6957 -0.2206 0.6685 -0.4073 0.6125 0.3972 0.5488 -0.9315 0.101 -0.3357 -0.0967
-0.6713 0.2946 0.5644 0.3795 -0.5238 0.6403 0.3748 0.4185 -0.5988 0.4185 0.504 0.4608 -0.6514 0.1253 0.6254 0.4109 -0.6829 -0.1431 0.6967 -0.1667 -0.673 0.1543 0.6659 0.2825 -0.7634 0.0083 -0.3497 0.543 0.1432 0.6957 -0.2206 0.6685 -0.4073 0.6125 0.3972 0.5488 -0.9315 0.101 -0.3357 -0.0967
-0.6713 0.2944 0.564 0.3802 -0.5238 0.6403 0.3748 0.4185 -0.5988 0.4185 0.504 0.4608 -0.6514 0.1253 0.6254 0.4109 -0.6833 -0.1438 0.6962 -0.1666 -0.673 0.1545 0.666 0.2822 -0.7634 0.0083 -0.3497 0.543 0.1432 0.6957 -0.2206 0.6685 -0.4073 0.6125 0.3972 0.5488 -0.9315 0.101 -0.3357 -0.0967
-0.6713 0.2944 0.564 0.3802 -0.5238 0.6403 0.3748 0.4185 -0.5988 0.4185 0.504 0.4608 -0.6514 0.1253 0.6254 0.4109 -0.6833 -0.1438 0.6962 -0.1666 -0.673 0.1545 0.666 0.2822 -0.7634 0.0083 -0.3497 0.543 0.1432 0.6957 -0.2206 0.6685 -0.4073 0.6125 0.3972 0.5488 -0.9315 0.101 -0.3357 -0.0967
-0.6713 0.2944 0.564 0.3802 -0.5238 0.6403 0.3748 0.4185 -0.5988 0.4185 0.504 0.4608 -0.6507 0.1266 0.6255 0.4115 -0.6833 -0.1438 0.6962 -0.1666 -0.673 0.1545 0.666 0.2822 -0.7634 0.0083 -0.3497 0.543 0.1432 0.6957 -0.2206 0.6685 -0.4073 0.6125 0.3972 0.5488 -0.9315 0.101 -0.3357 -0.0967
-0.6713 0.2944 0.564 0.3802 -0.5238 0.6403 0.3748 0.4185 -0.5988 0.4185 0.504 0.4608 -0.6507 0.1266 0.6255 0.4115 -0.6833 -0.1438 0.6962 -0.1666 -0.673 0.1545 0.666 0.2822 -0.7634 0.0083 -0.3497 0.543 0.1432 0.6957 -0.2206 0.6685 -0.4073 0.6125 0.3972 0.5488 -0.9315 0.101 -0.3357 -0.0967
-0.6713 0.2944 0.564 0.3802 -0.5238 0.6403 0.3748 0.4185 -0.5988 0.4185 0.504 0.4608 -0.6507 0.1266 0.6255 0.4115 -0.6833 -0.1438 0.6962 -0.1666 -0.673 0.1545 0.666 0.2822 -0.7634 0.0083 -0.3497 0.543 0.1432 0.6957 -0.2206 0.6685 -0.4073 0.6125 0.3972 0.5488 -0.9315 0.101 -0.3357 -0.0967
-0.6713 0.2944 0.564 0.3802 -0.5238 0.6403 0.3748 0.4185 -0.5982 0.4196 0.5031 0.4615 -0.6507 0.1266 0.6255 0.4115 -0.6833 -0.1438 0.6962 -0.1666 -0.673 0.1545 0.666 0.2822 -0.7634 0.0083 -0.3497 0.543 0.1432 0.6957 -0.2206 0.6685 -0.4073 0.6125 0.3972 0.5488 -0.9315 0.101 -0.3357 -0.0967
