rt-uaw rt-uax rt-uay rt-uaz rt-faw rt-fax rt-fay rt-faz rt-thw rt-thx rt-thy rt-thz rt-llw rt-llx rt-lly rt-llz rt-ftw rt-ftx rt-fty rt-ftz lt-uaw lt-uax lt-uay lt-uaz lt-faw lt-fax lt-fay lt-faz lt-thw lt-thx lt-thy lt-thz lt-llw lt-llx lt-lly lt-llz lt-ftw lt-ftx lt-fty lt-ftz 
-0.6494 0.336 0.5399 0.4171 -0.5131 0.6464 0.3489 0.4441 -0.5905 0.4087 0.5136 0.4697 -0.654 0.1285 0.6264 0.4042 -0.6855 -0.1115 0.7067 -0.1349 -0.6758 0.1417 0.6739 0.263 -0.7603 0.0135 -0.3447 0.5504 0.1735 0.6848 -0.2424 0.665 -0.4049 0.6136 0.3834 0.559 -0.9311 0.1086 -0.3329 -0.1024
-0.6494 0.336 0.5399 0.4171 -0.5135 0.6459 0.3488 0.4444 -0.5905 0.4087 0.5136 0.4697 -0.654 0.1285 0.6264 0.4042 -0.6855 -0.1115 0.7067 -0.1349 -0.6758 0.1417 0.6739 0.263 -0.7603 0.0135 -0.3447 0.5504 0.1735 0.6848 -0.2424 0.665 -0.4048 0.6137 0.3834 0.559 -0.9311 0.1086 -0.3329 -0.1024
-0.6497 0.3357 0.5397 0.4171 -0.5135 0.6459 0.3488 0.4444 -0.5905 0.4087 0.5136 0.4697 -0.654 0.1285 0.6264 0.4042 -0.6855 -0.1115 0.7067 -0.1349 -0.6758 0.1417 0.6739 0.263 -0.7603 0.0135 -0.3447 0.5504 0.1735 0.6848 -0.2424 0.665 -0.4048 0.6137 0.3834 0.559 -0.9311 0.1086 -0.3329 -0.1024
-0.6497 0.3357 0.5397 0.4171 -0.5135 0.6459 0.3488 0.4444 -0.5905 0.4087 0.5136 0.4697 -0.654 0.1285 0.6264 0.4042 -0.6855 -0.1115 0.7067 -0.1349 -0.6758 0.1417 0.6739 0.263 -0.7603 0.0135 -0.3447 0.5504 0.1735 0.6848 -0.2424 0.665 -0.4048 0.6137 0.3834 0.559 -0.9311 0.1086 -0.3329 -0.1024
-0.6497 0.3357 0.5397 0.4171 -0.5135 0.6459 0.3488 0.4444 -0.5905 0.4087 0.5136 0.4697 -0.654 0.1285 0.6264 0.4042 -0.6855 -0.1115 0.7067 -0.1349 -0.6758 0.1417 0.6739 0.263 -0.7603 0.0135 -0.3447 0.5504 0.1735 0.6848 -0.2424 0.665 -0.4048 0.6137 0.3834 0.559 -0.9311 0.1086 -0.3329 -0.1024
-0.6497 0.3357 0.5397 0.4171 -0.5135 0.6459 0.3488 0.4444 -0.5905 0.4086 0.5134 0.4699 -0.654 0.1285 0.6264 0.4042 -0.6862 -0.1115 0.7062 -0.1341 -0.6758 0.1417 0.6739 0.263 -0.7603 0.0135 -0.3447 0.5504 0.1735 0.6848 -0.2424 0.665 -0.4048 0.6137 0.3834 0.559 -0.9311 0.1086 -0.3329 -0.1024
-0.6497 0.3357 0.5397 0.4171 -0.5135 0.6459 0.3488 0.4444 -0.5905 0.4086 0.5134 0.4699 -0.654 0.1285 0.6264 0.4042 -0.6862 -0.1115 0.7062 -0.1341 -0.6758 0.1417 0.6739 0.263 -0.7603 0.0135 -0.3447 0.5504 0.1735 0.6848 -0.2424 0.665 -0.4048 0.6137 0.3834 0.559 -0.9311 0.1086 -0.3329 -0.1024
-0.6497 0.3357 0.5397 0.4171 -0.5135 0.6459 0.3488 0.4444 -0.5905 0.4086 0.5134 0.4699 -0.654 0.1285 0.6264 0.4042 -0.6862 -0.1115 0.7062 -0.1341 -0.6758 0.1417 0.6739 0.263 -0.7603 0.0135 -0.3447 0.5504 0.1735 0.6848 -0.2424 0.665 -0.4048 0.6137 0.3834 0.559 -0.9311 0.1086 -0.3329 -0.1024
-0.6497 0.3357 0.5397 0.4171 -0.5135 0.6459 0.3488 0.4444 -0.5905 0.4086 0.5134 0.4699 -0.654 0.1285 0.6264 0.4042 -0.6862 -0.1115 0.7062 -0.1341 -0.6758 0.1417 0.6739 0.263 -0.7603 0.0135 -0.3447 0.5504 0.1735 0.6848 -0.2424 0.665 -0.4047 0.614 0.3835 0.5586 -0.9311 0.1086 -0.3329 -0.1024
-0.6492 0.3353 0.541 0.4164 -0.5131 0.6454 0.3496 0.4449 -0.5905 0.4086 0.5134 0.4699 -0.654 0.1285 0.6264 0.4042 -0.6862 -0.1115 0.7062 -0.1341 -0.6758 0.1417 0.6739 0.263 -0.7603 0.0135 -0.3447 0.5504 0.1726 0.6847 -0.2397 0.6663 -0.4047 0.614 0.3835 0.5586 -0.931 0.1086 -0.3329 -0.1024
-0.6492 0.3353 0.541 0.4164 -0.5131 0.6454 0.3496 0.4449 -0.5905 0.4086 0.5134 0.4699 -0.654 0.1285 0.6264 0.4042 -0.6862 -0.1115 0.7062 -0.1341 -0.6758 0.1417 0.6739 0.263 -0.7603 0.0135 -0.3447 0.5504 0.1726 0.6847 -0.2397 0.6663 -0.4047 0.614 0.3835 0.5586 -0.931 0.1086 -0.3329 -0.1024
-0.6492 0.3353 0.541 0.4164 -0.5131 0.6454 0.3496 0.4449 -0.5914 0.4077 0.5145 0.4683 -0.654 0.1285 0.6264 0.4042 -0.688 -0.1122 0.7045 -0.1328 -0.6758 0.1417 0.6739 0.263 -0.7603 0.0135 -0.3447 0.5504 0.1726 0.6847 -0.2397 0.6663 -0.4047 0.614 0.3835 0.5586 -0.931 0.1086 -0.3329 -0.1024
-0.6492 0.3353 0.541 0.4164 -0.5131 0.6454 0.3496 0.4449 -0.5914 0.4077 0.5145 0.4683 -0.654 0.1285 0.6264 0.4042 -0.688 -0.1122 0.7045 -0.1328 -0.6758 0.1417 0.6739 0.263 -0.7603 0.0135 -0.3447 0.5504 0.1726 0.6847 -0.2397 0.6663 -0.4047 0.614 0.3835 0.5586 -0.931 0.1086 -0.3329 -0.1024
-0.6492 0.3353 0.541 0.4164 -0.5131 0.6454 0.3496 0.4449 -0.5914 0.4077 0.5145 0.4683 -0.654 0.1285 0.6264 0.4042 -0.688 -0.1122 0.7045 -0.1328 -0.6758 0.1417 0.6739 0.263 -0.7603 0.0135 -0.3447 0.5504 0.1726 0.6847 -0.2397 0.6663 -0.4047 0.614 0.3835 0.5586 -0.931 0.1086 -0.3329 -0.1024
