rt-uaw rt-uax rt-uay rt-uaz rt-faw rt-fax rt-fay rt-faz rt-thw rt-thx rt-thy rt-thz rt-llw rt-llx rt-lly rt-llz rt-ftw rt-ftx rt-fty rt-ftz lt-uaw lt-uax lt-uay lt-uaz lt-faw lt-fax lt-fay lt-faz lt-thw lt-thx lt-thy lt-thz lt-llw lt-llx lt-lly lt-llz lt-ftw lt-ftx lt-fty lt-ftz 
-0.7502 0.1689 0.6323 0.0943 -0.368 0.7307 0.1813 0.5457 -0.7689 0.0592 0.6221 0.1348 -0.7488 -0.1893 0.6349 -0.0146 -0.6044 -0.2953 0.6768 -0.299 -0.7402 -0.0416 0.6711 0.0073 -0.9472 -0.0748 -0.301 0.0811 -0.7031 0.1749 0.6827 0.0947 -0.7045 0.1756 0.671 0.1507 -0.9501 0.0211 -0.3099 -0.0285
-0.7502 0.1689 0.6323 0.0943 -0.368 0.7307 0.1813 0.5457 -0.7689 0.0592 0.6221 0.1348 -0.7488 -0.1893 0.6349 -0.0146 -0.6044 -0.2953 0.6768 -0.299 -0.7402 -0.0416 0.6711 0.0073 -0.9472 -0.0748 -0.301 0.0811 -0.7031 0.1749 0.6827 0.0947 -0.7045 0.1756 0.671 0.1507 -0.9501 0.0211 -0.3099 -0.0285
-0.7502 0.1689 0.6323 0.0943 -0.368 0.7307 0.1813 0.5457 -0.7689 0.0592 0.6221 0.1348 -0.7488 -0.1893 0.6349 -0.0146 -0.6044 -0.2953 0.6768 -0.299 -0.7402 -0.0416 0.6711 0.0073 -0.9472 -0.0748 -0.301 0.0811 -0.7031 0.1749 0.6827 0.0947 -0.7045 0.1756 0.671 0.1507 -0.9501 0.0211 -0.3099 -0.0285
-0.7502 0.1689 0.6323 0.0943 -0.368 0.7307 0.1813 0.5457 -0.7689 0.0592 0.6221 0.1348 -0.7488 -0.1893 0.6349 -0.0146 -0.6044 -0.2953 0.6768 -0.299 -0.7411 -0.0414 0.67 0.0092 -0.9474 -0.0746 -0.3005 0.081 -0.7031 0.1749 0.6827 0.0947 -0.7039 0.1772 0.6708 0.1522 -0.9501 0.0211 -0.3099 -0.0285
-0.7502 0.1689 0.6323 0.0943 -0.368 0.7307 0.1813 0.5457 -0.768 0.0602 0.6227 0.137 -0.7488 -0.1893 0.6349 -0.0146 -0.6044 -0.2953 0.6768 -0.299 -0.7411 -0.0414 0.67 0.0092 -0.9474 -0.0746 -0.3005 0.081 -0.7031 0.1749 0.6827 0.0947 -0.7039 0.1772 0.6708 0.1522 -0.9501 0.0211 -0.3099 -0.0285
-0.75 0.1707 0.6318 0.0961 -0.3672 0.7295 0.1778 0.549 -0.768 0.0602 0.6227 0.137 -0.7488 -0.1893 0.6349 -0.0146 -0.6044 -0.2953 0.6768 -0.299 -0.7411 -0.0414 0.67 0.0092 -0.9474 -0.0746 -0.3005 0.081 -0.7031 0.1749 0.6827 0.0947 -0.7039 0.1772 0.6708 0.1522 -0.95 0.0211 -0.3104 -0.0285
-0.75 0.1707 0.6318 0.0961 -0.3672 0.7295 0.1778 0.549 -0.768 0.0602 0.6227 0.137 -0.7488 -0.1893 0.6349 -0.0146 -0.6044 -0.2953 0.6768 -0.299 -0.7411 -0.0414 0.67 0.0092 -0.9474 -0.0746 -0.3005 0.081 -0.7031 0.1749 0.6827 0.0947 -0.7039 0.1772 0.6708 0.1522 -0.95 0.0211 -0.3104 -0.0285
-0.75 0.1707 0.6318 0.0961 -0.3672 0.7295 0.1778 0.549 -0.768 0.0602 0.6227 0.137 -0.7485 -0.1897 0.6353 -0.0138 -0.6056 -0.2921 0.6799 -0.2927 -0.7411 -0.0414 0.67 0.0092 -0.9474 -0.0746 -0.3005 0.081 -0.7021 0.1786 0.6825 0.0968 -0.7039 0.1772 0.6708 0.1522 -0.95 0.0211 -0.3104 -0.0285
-0.75 0.1707 0.6318 0.0961 -0.3672 0.7295 0.1778 0.549 -0.768 0.0602 0.6227 0.137 -0.7485 -0.1897 0.6353 -0.0138 -0.6056 -0.2921 0.6799 -0.2927 -0.7411 -0.0414 0.67 0.0092 -0.9474 -0.0746 -0.3005 0.081 -0.7021 0.1786 0.6825 0.0968 -0.7039 0.1772 0.6708 0.1522 -0.95 0.0211 -0.3104 -0.0285
-0.75 0.1707 0.6318 0.0961 -0.3672 0.7295 0.1778 0.549 -0.768 0.0602 0.6227 0.137 -0.7485 -0.1897 0.6353 -0.0138 -0.6056 -0.2921 0.6799 -0.2927 -0.7411 -0.0414 0.67 0.0092 -0.9474 -0.0746 -0.3005 0.081 -0.7021 0.1786 0.6825 0.0968 -0.7039 0.1772 0.6708 0.1522 -0.95 0.0211 -0.3104 -0.0285
